ArrSize,BST-ordered,BST-ordered-searchIn,BST-ordered-searchOut,BST-slightly-ordered,BST-slightly-ordered-searchIn,BST-slightly-ordered-searchOut,BST-shuffled,BST-shuffled-searchIn,BST-shuffled-searchOut,AVL-ordered,AVL-ordered-searchIn,AVL-ordered-searchOut,AVL-slightly-ordered,AVL-slightly-ordered-searchIn,AVL-slightly-ordered-searchOut,AVL-shuffled,AVL-shuffled-searchIn,AVL-shuffled-searchOut
2000,62475.5,2.55,75.59,5238.23,2.39,1.3,2863.91,1.44,0.79,9152.27,1.72,0.94,12062.7,1.25,0.98,10958.1,1.19,0.98
2100,71399.1,2.68,75.82,5723.41,2.49,1.31,3075.12,1.46,0.73,10146.2,1.58,1,13406.3,1.37,1.13,12100.2,1.31,1.13
2200,76077.3,2.39,77.1,6109.92,2.3,1.26,3196.98,1.46,0.66,10130.4,1.46,0.9,13198.3,1.24,0.98,12100.2,2.94,0.98
2300,82528.9,2.38,79.71,6672.54,3.43,1.37,3232.65,1.35,0.78,10241.3,1.47,2.85,13540.1,1.24,1.02,12428.6,3,1.02
2400,89883.1,2.43,81.89,6350.5,2.28,1.28,3444.79,1.36,0.76,10766.5,1.47,0.91,14320.9,1.28,0.99,13095.5,1.2,0.99
2500,97923,2.47,85.11,6653.46,2.22,1.34,3543.94,1.37,0.82,11328.6,1.5,0.94,14868.2,1.23,0.96,13803.5,1.19,0.96
2600,104906,2.45,91.93,7088.97,2.29,1.4,3617.46,1.47,0.78,11772.4,1.62,0.94,15354.1,1.22,1.05,13909.5,1.15,1.05
2700,117432,2.23,92.14,7891.61,2.02,1.27,3908.45,1.45,0.77,12642,1.44,0.92,16440.2,1.24,2.51,15281.4,1.13,2.51
2800,124670,2.33,99.87,7972.43,2.14,1.37,4104.91,1.4,0.75,12814.2,1.43,0.9,17019,1.17,0.99,15494.6,1.15,0.99
2900,134062,4.16,103.37,8586.62,2.1,1.47,4216.52,1.36,0.79,13475.5,1.51,0.91,17560.3,1.2,0.94,16188.5,1.22,0.94
3000,145070,2.51,105.44,8956.8,2.35,1.45,4420.04,1.47,0.83,13931.7,1.59,0.93,18583.9,1.28,1.05,16958.9,1.18,1.05
3100,154514,2.4,106.51,9618.21,2.2,1.39,4555.62,1.47,0.8,15108.8,1.45,0.88,19030.9,1.36,1.01,17436.1,1.26,1.01
3200,161794,2.45,111.89,9625.59,2.4,1.43,4741.88,1.37,0.78,15169.8,2.71,0.96,19520.1,1.32,1.05,18040.6,2.44,1.05
3300,175475,2.35,116.49,10511.1,2.11,1.43,4909.1,1.4,0.84,15770.2,1.56,0.87,20408.2,1.24,1.02,19002.3,1.23,1.02
3400,185196,2.44,115.67,10618.2,2.35,1.5,5002.12,1.38,0.73,16155.5,1.5,2.14,21121.4,1.29,2.51,19363.7,1.21,2.51
3500,190648,2.37,122.72,10855.9,2.18,1.42,5012.93,1.42,0.98,16255.7,2.84,0.95,21089.6,1.36,1.04,19409.9,1.22,1.04
3600,209289,2.42,133.31,12150.5,2.19,1.38,5457.89,1.44,0.74,17801,1.6,0.92,22899.5,1.33,1.05,21026.6,1.23,1.05
